sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"FAT2","Approved symbol","FAT2","FAT atypical cadherin 2","HGNC:3596","5q33.1"
"PTEN","Approved symbol","PTEN","phosphatase and tensin homolog","HGNC:9588","10q23.31"
"PLXNA4","Approved symbol","PLXNA4","plexin A4","HGNC:9102","7q32.3"
"PPEF1","Approved symbol","PPEF1","protein phosphatase with EF-hand domain 1","HGNC:9243","Xp22.13"
"ABCA4","Approved symbol","ABCA4","ATP binding cassette subfamily A member 4","HGNC:34","1p22.1"
"ACTN2","Approved symbol","ACTN2","actinin alpha 2","HGNC:164","1q43"
"EMR2","Previous symbol","ADGRE2","adhesion G protein-coupled receptor E2","HGNC:3337","19p13.12"
"HERC1","Approved symbol","HERC1","HECT and RLD domain containing E3 ubiquitin protein ligase family member 1","HGNC:4867","15q22.31"
"AMER1","Approved symbol","AMER1","APC membrane recruitment protein 1","HGNC:26837","Xq11.2"
"FLII","Approved symbol","FLII","FLII, actin remodeling protein","HGNC:3750","17p11.2"
"LAMA2","Approved symbol","LAMA2","laminin subunit alpha 2","HGNC:6482","6q22.33"
"RIPK1","Approved symbol","RIPK1","receptor interacting serine/threonine kinase 1","HGNC:10019","6p25.2"
"MAGI2","Approved symbol","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2","HGNC:18957","7q21.11"
"MAST4","Approved symbol","MAST4","microtubule associated serine/threonine kinase family member 4","HGNC:19037","5q12.3"
"SCN1A","Approved symbol","SCN1A","sodium voltage-gated channel alpha subunit 1","HGNC:10585","2q24.3"
"WDR33","Approved symbol","WDR33","WD repeat domain 33","HGNC:25651","2q14.3"
"BAI1","Previous symbol","ADGRB1","adhesion G protein-coupled receptor B1","HGNC:943","8q24.3"
"C1orf65","Previous symbol","CCDC185","coiled-coil domain containing 185","HGNC:26654","1q41"
"COL12A1","Approved symbol","COL12A1","collagen type XII alpha 1 chain","HGNC:2188","6q13-q14.1"
"CYP4F11","Approved symbol","CYP4F11","cytochrome P450 family 4 subfamily F member 11","HGNC:13265","19p13.12"
"DALRD3","Approved symbol","DALRD3","DALR anticodon binding domain containing 3","HGNC:25536","3p21.31"
"DNAH11","Approved symbol","DNAH11","dynein axonemal heavy chain 11","HGNC:2942","7p15.3"
"DSCAML1","Approved symbol","DSCAML1","DS cell adhesion molecule like 1","HGNC:14656","11q23.3"
"ANKRD36C","Approved symbol","ANKRD36C","ankyrin repeat domain 36C","HGNC:32946","2q11.1"
"MADD","Approved symbol","MADD","MAP kinase activating death domain","HGNC:6766","11p11.2"
"MADD","Synonyms","ETFA","electron transfer flavoprotein subunit alpha","HGNC:3481","15q24.2-q24.3"
"MAST1","Approved symbol","MAST1","microtubule associated serine/threonine kinase 1","HGNC:19034","19p13.2"
"MAST1","Synonyms","CLASP1","cytoplasmic linker associated protein 1","HGNC:17088","2q14.2-q14.3"
"OR2G3","Approved symbol","OR2G3","olfactory receptor family 2 subfamily G member 3","HGNC:15008","1q44"
"PREX2","Approved symbol","PREX2","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2","HGNC:22950","8q13.2"
"UBR5","Approved symbol","UBR5","ubiquitin protein ligase E3 component n-recognin 5","HGNC:16806","8q22.3"
"CSPG4P11","Approved symbol","CSPG4P11","chondroitin sulfate proteoglycan 4 pseudogene 11","HGNC:48363","15q25.2"
"COL6A3","Approved symbol","COL6A3","collagen type VI alpha 3 chain","HGNC:2213","2q37.3"
"OBSCN","Approved symbol","OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","HGNC:15719","1q42.13"
"TENM1","Approved symbol","TENM1","teneurin transmembrane protein 1","HGNC:8117","Xq25"
"SPEG","Approved symbol","SPEG","striated muscle enriched protein kinase","HGNC:16901","2q35"
"THSD7A","Approved symbol","THSD7A","thrombospondin type 1 domain containing 7A","HGNC:22207","7p21.3"
"ERBB2","Approved symbol","ERBB2","erb-b2 receptor tyrosine kinase 2","HGNC:3430","17q12"
"ATM","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3"
"CCDC146","Approved symbol","CCDC146","coiled-coil domain containing 146","HGNC:29296","7q11.23"
"FMN2","Approved symbol","FMN2","formin 2","HGNC:14074","1q43"
"MYOM3","Approved symbol","MYOM3","myomesin 3","HGNC:26679","1p36.11"
"GRIA3","Approved symbol","GRIA3","glutamate ionotropic receptor AMPA type subunit 3","HGNC:4573","Xq25"
"PLXNA2","Approved symbol","PLXNA2","plexin A2","HGNC:9100","1q32.2"
"MYO9B","Approved symbol","MYO9B","myosin IXB","HGNC:7609","19p13.11"
"RUNX1","Approved symbol","RUNX1","runt related transcription factor 1","HGNC:10471","21q22.12"
"SDK1","Approved symbol","SDK1","sidekick cell adhesion molecule 1","HGNC:19307","7p22.2"
"SORCS1","Approved symbol","SORCS1","sortilin related VPS10 domain containing receptor 1","HGNC:16697","10q25.1"
"SORCS1","Synonyms","SORCS1","sortilin related VPS10 domain containing receptor 1","HGNC:16697","10q25.1"
"CROCC","Approved symbol","CROCC","ciliary rootlet coiled-coil, rootletin","HGNC:21299","1p36.13"
"DSE","Approved symbol","DSE","dermatan sulfate epimerase","HGNC:21144","6q22.1"
"VCAN","Approved symbol","VCAN","versican","HGNC:2464","5q14.2-q14.3"
"WDFY3","Approved symbol","WDFY3","WD repeat and FYVE domain containing 3","HGNC:20751","4q21.23"
"MEFV","Approved symbol","MEFV","MEFV, pyrin innate immunity regulator","HGNC:6998","16p13.3"
"DLGAP4","Approved symbol","DLGAP4","DLG associated protein 4","HGNC:24476","20q11.23"
"DYNC1H1","Approved symbol","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","HGNC:2961","14q32.31"
"ERV3-1","Approved symbol","ERV3-1","endogenous retrovirus group 3 member 1, envelope","HGNC:3454","7q11.21"
"TACC2","Approved symbol","TACC2","transforming acidic coiled-coil containing protein 2","HGNC:11523","10q26.13"
"CUL4B","Approved symbol","CUL4B","cullin 4B","HGNC:2555","Xq24"
"KCNB2","Approved symbol","KCNB2","potassium voltage-gated channel subfamily B member 2","HGNC:6232","8q21.11"
"KIF13A","Approved symbol","KIF13A","kinesin family member 13A","HGNC:14566","6p22.3"
"TLR4","Approved symbol","TLR4","toll like receptor 4","HGNC:11850","9q33.1"
"UTRN","Approved symbol","UTRN","utrophin","HGNC:12635","6q24.2"
"VPS13B","Approved symbol","VPS13B","vacuolar protein sorting 13 homolog B","HGNC:2183","8q22.2"
"SPATA31C1","Approved symbol","SPATA31C1","SPATA31 subfamily C member 1","HGNC:27846","9q22.1"
"MAP2","Approved symbol","MAP2","microtubule associated protein 2","HGNC:6839","2q34"
"MAP2","Synonyms","METAP2","methionyl aminopeptidase 2","HGNC:16672","12q22"
"RGS7","Approved symbol","RGS7","regulator of G protein signaling 7","HGNC:10003","1q43"
"TRAPPC10","Approved symbol","TRAPPC10","trafficking protein particle complex 10","HGNC:11868","21q22.3"
"DNAH2","Approved symbol","DNAH2","dynein axonemal heavy chain 2","HGNC:2948","17p13.1"
"FLG","Approved symbol","FLG","filaggrin","HGNC:3748","1q21.3"
"FLG","Synonyms","FGFR1","fibroblast growth factor receptor 1","HGNC:3688","8p11.23"
"SVIL","Approved symbol","SVIL","supervillin","HGNC:11480","10p11.23"
"LAMB1","Approved symbol","LAMB1","laminin subunit beta 1","HGNC:6486","7q31.1"
"LPHN2","Previous symbol","ADGRL2","adhesion G protein-coupled receptor L2","HGNC:18582","1p31.1"
"DCC","Approved symbol","DCC","DCC netrin 1 receptor","HGNC:2701","18q21.2"
"CFH","Approved symbol","CFH","complement factor H","HGNC:4883","1q31.3"
"FAM47C","Approved symbol","FAM47C","family with sequence similarity 47 member C","HGNC:25301","Xp21.1"
"RP11-32B5.1","Unmatched","","","",""
"WNK1","Approved symbol","WNK1","WNK lysine deficient protein kinase 1","HGNC:14540","12p13.33"
"TBX3","Approved symbol","TBX3","T-box 3","HGNC:11602","12q24.21"
"CBLB","Approved symbol","CBLB","Cbl proto-oncogene B","HGNC:1542","3q13.11"
"CBLB","Synonyms","MMAB","metabolism of cobalamin associated B","HGNC:19331","12q24.11"
"LRP1","Approved symbol","LRP1","LDL receptor related protein 1","HGNC:6692","12q13.3"
"LRP1","Synonyms","C1D","C1D nuclear receptor corepressor","HGNC:29911","2p14"
"POLQ","Approved symbol","POLQ","DNA polymerase theta","HGNC:9186","3q13.33"
"POLQ","Synonyms","POLK","DNA polymerase kappa","HGNC:9183","5q13.3"
"USP34","Approved symbol","USP34","ubiquitin specific peptidase 34","HGNC:20066","2p15"
"CD163L1","Approved symbol","CD163L1","CD163 molecule like 1","HGNC:30375","12p13.31"
"SYNE2","Approved symbol","SYNE2","spectrin repeat containing nuclear envelope protein 2","HGNC:17084","14q23.2"
"ACACB","Approved symbol","ACACB","acetyl-CoA carboxylase beta","HGNC:85","12q24.11"
"DNAH7","Approved symbol","DNAH7","dynein axonemal heavy chain 7","HGNC:18661","2q32.3"
"FLNC","Approved symbol","FLNC","filamin C","HGNC:3756","7q32.1"
"PCDH19","Approved symbol","PCDH19","protocadherin 19","HGNC:14270","Xq22.1"
"USPL1","Approved symbol","USPL1","ubiquitin specific peptidase like 1","HGNC:20294","13q12.3"
"VPS13A","Approved symbol","VPS13A","vacuolar protein sorting 13 homolog A","HGNC:1908","9q21.2"
"ANKRD17","Approved symbol","ANKRD17","ankyrin repeat domain 17","HGNC:23575","4q13.3"
"DDR2","Approved symbol","DDR2","discoidin domain receptor tyrosine kinase 2","HGNC:2731","1q23.3"
"ARID1A","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11"
"SACS","Approved symbol","SACS","sacsin molecular chaperone","HGNC:10519","13q12.12"
"BLM","Approved symbol","BLM","BLM RecQ like helicase","HGNC:1058","15q26.1"
"GTSE1","Approved symbol","GTSE1","G2 and S-phase expressed 1","HGNC:13698","22q13.31"
"CENPE","Approved symbol","CENPE","centromere protein E","HGNC:1856","4q24"
"DOCK11","Approved symbol","DOCK11","dedicator of cytokinesis 11","HGNC:23483","Xq24"
"FBN1","Approved symbol","FBN1","fibrillin 1","HGNC:3603","15q21.1"
"GON4L","Approved symbol","GON4L","gon-4 like","HGNC:25973","1q22"
"NAV1","Approved symbol","NAV1","neuron navigator 1","HGNC:15989","1q32.1"
"NHSL2","Approved symbol","NHSL2","NHS like 2","HGNC:33737","Xq13.1"
"PCLO","Approved symbol","PCLO","piccolo presynaptic cytomatrix protein","HGNC:13406","7q21.11"
"PTPN22","Approved symbol","PTPN22","protein tyrosine phosphatase, non-receptor type 22","HGNC:9652","1p13.2"
"SLC4A5","Approved symbol","SLC4A5","solute carrier family 4 member 5","HGNC:18168","2p13.1"
"SLC4A5","Previous symbol","SLC4A4","solute carrier family 4 member 4","HGNC:11030","4q13.3"
"SRGAP1","Approved symbol","SRGAP1","SLIT-ROBO Rho GTPase activating protein 1","HGNC:17382","12q14.2"
"ZNF536","Approved symbol","ZNF536","zinc finger protein 536","HGNC:29025","19q13.11"
"DNAH1","Approved symbol","DNAH1","dynein axonemal heavy chain 1","HGNC:2940","3p21.1"
"NUP160","Approved symbol","NUP160","nucleoporin 160","HGNC:18017","11p11.2"
"ASXL2","Approved symbol","ASXL2","ASXL transcriptional regulator 2","HGNC:23805","2p23.3"
"DENND1B","Approved symbol","DENND1B","DENN domain containing 1B","HGNC:28404","1q31.3"
"HERC2","Approved symbol","HERC2","HECT and RLD domain containing E3 ubiquitin protein ligase 2","HGNC:4868","15q13.1"
"RFPL1","Approved symbol","RFPL1","ret finger protein like 1","HGNC:9977","22q12.2"
"AKT1","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33"
"CCT6B","Approved symbol","CCT6B","chaperonin containing TCP1 subunit 6B","HGNC:1621","17q12"
"CDH12","Approved symbol","CDH12","cadherin 12","HGNC:1751","5p14.3"
"GRID1","Approved symbol","GRID1","glutamate ionotropic receptor delta type subunit 1","HGNC:4575","10q23.1-q23.2"
"KIF26B","Approved symbol","KIF26B","kinesin family member 26B","HGNC:25484","1q44"
"PIWIL1","Approved symbol","PIWIL1","piwi like RNA-mediated gene silencing 1","HGNC:9007","12q24.33"
"SCN10A","Approved symbol","SCN10A","sodium voltage-gated channel alpha subunit 10","HGNC:10582","3p22.2"
"RYR1","Approved symbol","RYR1","ryanodine receptor 1","HGNC:10483","19q13.2"
"CHD1L","Approved symbol","CHD1L","chromodomain helicase DNA binding protein 1 like","HGNC:1916","1q21.1"
"FRMPD4","Approved symbol","FRMPD4","FERM and PDZ domain containing 4","HGNC:29007","Xp22.2"
"GRIN2A","Approved symbol","GRIN2A","glutamate ionotropic receptor NMDA type subunit 2A","HGNC:4585","16p13.2"
"NRP2","Approved symbol","NRP2","neuropilin 2","HGNC:8005","2q33.3"
"NRP2","Synonyms","NELL2","neural EGFL like 2","HGNC:7751","12q12"
"ABCA13","Approved symbol","ABCA13","ATP binding cassette subfamily A member 13","HGNC:14638","7p12.3"
"ATRX","Approved symbol","ATRX","ATRX, chromatin remodeler","HGNC:886","Xq21.1"
"CACNA1B","Approved symbol","CACNA1B","calcium voltage-gated channel subunit alpha1 B","HGNC:1389","9q34.3"
"CUL7","Approved symbol","CUL7","cullin 7","HGNC:21024","6p21.1"
"LAMB4","Approved symbol","LAMB4","laminin subunit beta 4","HGNC:6491","7q31.1"
"RIMS2","Approved symbol","RIMS2","regulating synaptic membrane exocytosis 2","HGNC:17283","8q22.3"
"RAB3GAP2","Approved symbol","RAB3GAP2","RAB3 GTPase activating non-catalytic protein subunit 2","HGNC:17168","1q41"
"CPXM1","Approved symbol","CPXM1","carboxypeptidase X, M14 family member 1","HGNC:15771","20p13"
"KAT6B","Approved symbol","KAT6B","lysine acetyltransferase 6B","HGNC:17582","10q22.2"
"ERBB4","Approved symbol","ERBB4","erb-b2 receptor tyrosine kinase 4","HGNC:3432","2q34"
"WDR17","Approved symbol","WDR17","WD repeat domain 17","HGNC:16661","4q34.2"
"MAP1A","Approved symbol","MAP1A","microtubule associated protein 1A","HGNC:6835","15q15.3"
"MAP1A","Synonyms","METAP1","methionyl aminopeptidase 1","HGNC:15789","4q23"
"RBMXL3","Approved symbol","RBMXL3","RBMX like 3","HGNC:26859","Xq23"
"TOPBP1","Approved symbol","TOPBP1","DNA topoisomerase II binding protein 1","HGNC:17008","3q22.1"
"PLA2G4A","Approved symbol","PLA2G4A","phospholipase A2 group IVA","HGNC:9035","1q31.1"
"TPO","Approved symbol","TPO","thyroid peroxidase","HGNC:12015","2p25.3"
"TPO","Synonyms","THPO","thrombopoietin","HGNC:11795","3q27.1"
"ARID1B","Approved symbol","ARID1B","AT-rich interaction domain 1B","HGNC:18040","6q25.3"
"F5","Approved symbol","F5","coagulation factor V","HGNC:3542","1q24.2"
"MALAT1","Approved symbol","MALAT1","metastasis associated lung adenocarcinoma transcript 1","HGNC:29665","11q13.1"
"FAM208B","Approved symbol","FAM208B","family with sequence similarity 208 member B","HGNC:23484","10p15.1"
"CTNND2","Approved symbol","CTNND2","catenin delta 2","HGNC:2516","5p15.2"
"DNAH10","Approved symbol","DNAH10","dynein axonemal heavy chain 10","HGNC:2941","12q24.31"
"RP11-85G18.6","Unmatched","","","",""
"FAM179A","Previous symbol","TOGARAM2","TOG array regulator of axonemal microtubules 2","HGNC:33715","2p23.2"
"CNTLN","Approved symbol","CNTLN","centlein","HGNC:23432","9p22.2"
"NEDD9","Approved symbol","NEDD9","neural precursor cell expressed, developmentally down-regulated 9","HGNC:7733","6p24.2"
"NRXN3","Approved symbol","NRXN3","neurexin 3","HGNC:8010","14q24.3-q31.1"
"MAP2K4","Approved symbol","MAP2K4","mitogen-activated protein kinase kinase 4","HGNC:6844","17p12"
"LPA","Approved symbol","LPA","lipoprotein(a)","HGNC:6667","6q25.3-q26"
"SPHKAP","Approved symbol","SPHKAP","SPHK1 interactor, AKAP domain containing","HGNC:30619","2q36.3"
"UTP20","Approved symbol","UTP20","UTP20, small subunit processome component","HGNC:17897","12q23.2"
"ATP11A","Approved symbol","ATP11A","ATPase phospholipid transporting 11A","HGNC:13552","13q34"
"CDH9","Approved symbol","CDH9","cadherin 9","HGNC:1768","5p14.1"
"BCORL1","Approved symbol","BCORL1","BCL6 corepressor like 1","HGNC:25657","Xq26.1"
"PRUNE2","Approved symbol","PRUNE2","prune homolog 2","HGNC:25209","9q21.2"
"PDZD2","Approved symbol","PDZD2","PDZ domain containing 2","HGNC:18486","5p13.3"
"HMCN1","Approved symbol","HMCN1","hemicentin 1","HGNC:19194","1q25.3-q31.1"
"PRAME","Approved symbol","PRAME","preferentially expressed antigen in melanoma","HGNC:9336","22q11.22"
"GRIK2","Approved symbol","GRIK2","glutamate ionotropic receptor kainate type subunit 2","HGNC:4580","6q16.3"
"GRIK2","Previous symbol","GRIK5","glutamate ionotropic receptor kainate type subunit 5","HGNC:4583","19q13.2"
"NKAIN4","Approved symbol","NKAIN4","sodium/potassium transporting ATPase interacting 4","HGNC:16191","20q13.33"
"TSC22D1","Approved symbol","TSC22D1","TSC22 domain family member 1","HGNC:16826","13q14.11"
"ITSN2","Approved symbol","ITSN2","intersectin 2","HGNC:6184","2p23.3"
"KIAA1109","Approved symbol","KIAA1109","KIAA1109","HGNC:26953","4q27"
"C5orf42","Previous symbol","CPLANE1","ciliogenesis and planar polarity effector 1","HGNC:25801","5p13.2"
"C2orf16","Approved symbol","C2orf16","chromosome 2 open reading frame 16","HGNC:25275","2p23.3"
"BRWD3","Approved symbol","BRWD3","bromodomain and WD repeat domain containing 3","HGNC:17342","Xq21.1"
"SHD","Approved symbol","SHD","Src homology 2 domain containing transforming protein D","HGNC:30633","19p13.3"
"HCFC1","Approved symbol","HCFC1","host cell factor C1","HGNC:4839","Xq28"
"DCHS2","Approved symbol","DCHS2","dachsous cadherin-related 2","HGNC:23111","4q31.3"
"DMXL1","Approved symbol","DMXL1","Dmx like 1","HGNC:2937","5q23.1"
"ZEB2","Approved symbol","ZEB2","zinc finger E-box binding homeobox 2","HGNC:14881","2q22.3"
"FREM2","Approved symbol","FREM2","FRAS1 related extracellular matrix protein 2","HGNC:25396","13q13.3"
"NRK","Approved symbol","NRK","Nik related kinase","HGNC:25391","Xq22.3"
"CHGB","Approved symbol","CHGB","chromogranin B","HGNC:1930","20p12.3"
"DSP","Approved symbol","DSP","desmoplakin","HGNC:3052","6p24.3"
"PCDHGB6","Approved symbol","PCDHGB6","protocadherin gamma subfamily B, 6","HGNC:8713","5q31"
"PTPRD","Approved symbol","PTPRD","protein tyrosine phosphatase, receptor type D","HGNC:9668","9p24.1-p23"
"PRPF8","Approved symbol","PRPF8","pre-mRNA processing factor 8","HGNC:17340","17p13.3"
"RB1","Approved symbol","RB1","RB transcriptional corepressor 1","HGNC:9884","13q14.2"
"WNK3","Approved symbol","WNK3","WNK lysine deficient protein kinase 3","HGNC:14543","Xp11.22"
"AMPD1","Approved symbol","AMPD1","adenosine monophosphate deaminase 1","HGNC:468","1p13.2"
"NEK5","Approved symbol","NEK5","NIMA related kinase 5","HGNC:7748","13q14.3"
"NINL","Approved symbol","NINL","ninein like","HGNC:29163","20p11.21"
"BCOR","Approved symbol","BCOR","BCL6 corepressor","HGNC:20893","Xp11.4"
"ITPR1","Approved symbol","ITPR1","inositol 1,4,5-trisphosphate receptor type 1","HGNC:6180","3p26.1"
"CCDC180","Approved symbol","CCDC180","coiled-coil domain containing 180","HGNC:29303","9q22.33"
"LTBP4","Approved symbol","LTBP4","latent transforming growth factor beta binding protein 4","HGNC:6717","19q13.1-q13.2"
"PDE4D","Approved symbol","PDE4D","phosphodiesterase 4D","HGNC:8783","5q11.2-q12.1"
"ANO5","Approved symbol","ANO5","anoctamin 5","HGNC:27337","11p14.3"
"PEG3","Approved symbol","PEG3","paternally expressed 3","HGNC:8826","19q13.4"
"EPG5","Approved symbol","EPG5","ectopic P-granules autophagy protein 5 homolog","HGNC:29331","18q12.3-q21.1"
"PCDH11X","Approved symbol","PCDH11X","protocadherin 11 X-linked","HGNC:8656","Xq21.31"
"HRNR","Approved symbol","HRNR","hornerin","HGNC:20846","1q21.3"
"GPR112","Previous symbol","ADGRG4","adhesion G protein-coupled receptor G4","HGNC:18992","Xq26.3"
"RP11-404K5.2","Unmatched","","","",""
"OPRM1","Approved symbol","OPRM1","opioid receptor mu 1","HGNC:8156","6q25.2"
"THSD7B","Approved symbol","THSD7B","thrombospondin type 1 domain containing 7B","HGNC:29348","2q22.1"
"MYH9","Approved symbol","MYH9","myosin heavy chain 9","HGNC:7579","22q12.3"
"ZNF841","Approved symbol","ZNF841","zinc finger protein 841","HGNC:27611","19q13.41"
"TAF1","Approved symbol","TAF1","TATA-box binding protein associated factor 1","HGNC:11535","Xq13.1"
"PDE4DIP","Approved symbol","PDE4DIP","phosphodiesterase 4D interacting protein","HGNC:15580","1q21.2"
"RLF","Approved symbol","RLF","rearranged L-myc fusion","HGNC:10025","1p34.2"
"RLF","Synonyms","INSL3","insulin like 3","HGNC:6086","19p13.11"
"ROR1","Approved symbol","ROR1","receptor tyrosine kinase like orphan receptor 1","HGNC:10256","1p31.3"
"ROR1","Synonyms","RORA","RAR related orphan receptor A","HGNC:10258","15q22.2"
"EPHA5","Approved symbol","EPHA5","EPH receptor A5","HGNC:3389","4q13.1-q13.2"
"BAZ2B","Approved symbol","BAZ2B","bromodomain adjacent to zinc finger domain 2B","HGNC:963","2q24.2"
"SEMA5A","Approved symbol","SEMA5A","semaphorin 5A","HGNC:10736","5p15.31"
"COL6A2","Approved symbol","COL6A2","collagen type VI alpha 2 chain","HGNC:2212","21q22.3"
"ATP7A","Approved symbol","ATP7A","ATPase copper transporting alpha","HGNC:869","Xq21.1"
"PRRC2B","Approved symbol","PRRC2B","proline rich coiled-coil 2B","HGNC:28121","9q34.13"
"ABCB11","Approved symbol","ABCB11","ATP binding cassette subfamily B member 11","HGNC:42","2q31.1"
"NOTCH4","Approved symbol","NOTCH4","notch 4","HGNC:7884","6p21.32"
"PDXDC1","Approved symbol","PDXDC1","pyridoxal dependent decarboxylase domain containing 1","HGNC:28995","16p13.11"
"RIF1","Approved symbol","RIF1","replication timing regulatory factor 1","HGNC:23207","2q23.3"
"RIF1","Synonyms","INSL6","insulin like 6","HGNC:6089","9p24.1"
"RIF1","Synonyms","LRIF1","ligand dependent nuclear receptor interacting factor 1","HGNC:30299","1p13.3"
"FER1L5","Approved symbol","FER1L5","fer-1 like family member 5","HGNC:19044","2q11.2"
"MUC6","Approved symbol","MUC6","mucin 6, oligomeric mucus/gel-forming","HGNC:7517","11p15.5"
"SPATA31D1","Approved symbol","SPATA31D1","SPATA31 subfamily D member 1","HGNC:37283","9q21.32"
"CCNB3","Approved symbol","CCNB3","cyclin B3","HGNC:18709","Xp11.22"
"ENSG00000210082","Unmatched","","","",""
"ENSG00000210195","Unmatched","","","",""
