Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ARMCX2	Approved symbol	ARMCX2	armadillo repeat containing X-linked 2	HGNC:16869	Xq22.1
FAM47B	Approved symbol	FAM47B	family with sequence similarity 47 member B	HGNC:26659	Xp21.1
CHML	Approved symbol	CHML	CHM like, Rab escort protein 2	HGNC:1941	1q43
CRP	Approved symbol	CRP	C-reactive protein	HGNC:2367	1q23.2
CRP	Synonyms	PPIAP10	peptidylprolyl isomerase A pseudogene 10	HGNC:9264	20q13.2
ZNF691	Approved symbol	ZNF691	zinc finger protein 691	HGNC:28028	1p34.2
DCTN1	Approved symbol	DCTN1	dynactin subunit 1	HGNC:2711	2p13.1
NCKAP1	Approved symbol	NCKAP1	NCK associated protein 1	HGNC:7666	2q32.1
ZNF804A	Approved symbol	ZNF804A	zinc finger protein 804A	HGNC:21711	2q32.1
PBRM1	Approved symbol	PBRM1	polybromo 1	HGNC:30064	3p21.1
FASTKD3	Approved symbol	FASTKD3	FAST kinase domains 3	HGNC:28758	5p15.31
DDR1	Approved symbol	DDR1	discoidin domain receptor tyrosine kinase 1	HGNC:2730	6p21.33
MAN1A1	Approved symbol	MAN1A1	mannosidase alpha class 1A member 1	HGNC:6821	6q22.31
TNFAIP3	Approved symbol	TNFAIP3	TNF alpha induced protein 3	HGNC:11896	6q23.3
GRM8	Approved symbol	GRM8	glutamate metabotropic receptor 8	HGNC:4600	7q31.33
TRIM73	Approved symbol	TRIM73	tripartite motif containing 73	HGNC:18162	7q11.23
WNT2	Approved symbol	WNT2	Wnt family member 2	HGNC:12780	7q31.2
FABP4	Approved symbol	FABP4	fatty acid binding protein 4	HGNC:3559	8q21.13
MTSS1	Approved symbol	MTSS1	MTSS1, I-BAR domain containing	HGNC:20443	8q24.13
NRG1	Approved symbol	NRG1	neuregulin 1	HGNC:7997	8p12
KANK1	Approved symbol	KANK1	KN motif and ankyrin repeat domains 1	HGNC:19309	9p24.3
KAT6B	Approved symbol	KAT6B	lysine acetyltransferase 6B	HGNC:17582	10q22.2
PDE6C	Approved symbol	PDE6C	phosphodiesterase 6C	HGNC:8787	10q23.33
FAM111A	Approved symbol	FAM111A	family with sequence similarity 111 member A	HGNC:24725	11q12.1
ACACB	Approved symbol	ACACB	acetyl-CoA carboxylase beta	HGNC:85	12q24.11
CES5A	Approved symbol	CES5A	carboxylesterase 5A	HGNC:26459	16q12.2
ERN2	Approved symbol	ERN2	endoplasmic reticulum to nucleus signaling 2	HGNC:16942	16p12.2
FBXO47	Approved symbol	FBXO47	F-box protein 47	HGNC:31969	17q12
YIPF2	Approved symbol	YIPF2	Yip1 domain family member 2	HGNC:28476	19p13.2
TSHZ2	Approved symbol	TSHZ2	teashirt zinc finger homeobox 2	HGNC:13010	20q13.2
ABCG1	Approved symbol	ABCG1	ATP binding cassette subfamily G member 1	HGNC:73	21q22.3
TOM1	Approved symbol	TOM1	target of myb1 membrane trafficking protein	HGNC:11982	22q12.3
SPANXN3	Approved symbol	SPANXN3	SPANX family member N3	HGNC:33176	Xq27.3
HEATR1	Approved symbol	HEATR1	HEAT repeat containing 1	HGNC:25517	1q43
LRRC7	Approved symbol	LRRC7	leucine rich repeat containing 7	HGNC:18531	1p31.1
S100A10	Approved symbol	S100A10	S100 calcium binding protein A10	HGNC:10487	1q21.3
EPB41L5	Approved symbol	EPB41L5	erythrocyte membrane protein band 4.1 like 5	HGNC:19819	2q14.2
IL1F10	Approved symbol	IL1F10	interleukin 1 family member 10	HGNC:15552	2q14.1
PRKD3	Approved symbol	PRKD3	protein kinase D3	HGNC:9408	2p22.2
GTF2H4	Approved symbol	GTF2H4	general transcription factor IIH subunit 4	HGNC:4658	6p21.33
MAP3K4	Approved symbol	MAP3K4	mitogen-activated protein kinase kinase kinase 4	HGNC:6856	6q26
KRIT1	Approved symbol	KRIT1	KRIT1, ankyrin repeat containing	HGNC:1573	7q21.2
ENPP2	Approved symbol	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	HGNC:3357	8q24.12
MTDH	Approved symbol	MTDH	metadherin	HGNC:29608	8q22.1
MKI67	Approved symbol	MKI67	marker of proliferation Ki-67	HGNC:7107	10q26.2
TACC2	Approved symbol	TACC2	transforming acidic coiled-coil containing protein 2	HGNC:11523	10q26.13
OR8D1	Approved symbol	OR8D1	olfactory receptor family 8 subfamily D member 1	HGNC:8481	11q24.2
PGF	Approved symbol	PGF	placental growth factor	HGNC:8893	14q24.3
SERPINA12	Approved symbol	SERPINA12	serpin family A member 12	HGNC:18359	14q32.13
CHD2	Approved symbol	CHD2	chromodomain helicase DNA binding protein 2	HGNC:1917	15q26.1
CYP1A2	Approved symbol	CYP1A2	cytochrome P450 family 1 subfamily A member 2	HGNC:2596	15q24.1
TYRO3	Approved symbol	TYRO3	TYRO3 protein tyrosine kinase	HGNC:12446	15q15.1
EVPL	Approved symbol	EVPL	envoplakin	HGNC:3503	17q25.1
SEC14L1	Approved symbol	SEC14L1	SEC14 like lipid binding 1	HGNC:10698	17q25.2-q25.3
CCDC178	Approved symbol	CCDC178	coiled-coil domain containing 178	HGNC:29588	18q12.1
COL4A6	Approved symbol	COL4A6	collagen type IV alpha 6 chain	HGNC:2208	Xq22.3
KAL1	Previous symbol	ANOS1	anosmin 1	HGNC:6211	Xp22.31
MAGEB6	Approved symbol	MAGEB6	MAGE family member B6	HGNC:23796	Xp21.3
MTMR8	Approved symbol	MTMR8	myotubularin related protein 8	HGNC:16825	Xq11.2
MTMR8	Previous symbol	MTMR9	myotubularin related protein 9	HGNC:14596	8p23.1
TEX11	Approved symbol	TEX11	testis expressed 11	HGNC:11733	Xp11
CADM3	Approved symbol	CADM3	cell adhesion molecule 3	HGNC:17601	1q23.2
NPR1	Approved symbol	NPR1	natriuretic peptide receptor 1	HGNC:7943	1q21.3
PDE4DIP	Approved symbol	PDE4DIP	phosphodiesterase 4D interacting protein	HGNC:15580	1q21.2
SNX27	Approved symbol	SNX27	sorting nexin family member 27	HGNC:20073	1q21.3
ST6GALNAC3	Approved symbol	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	HGNC:19343	1p31.1
ZBTB18	Approved symbol	ZBTB18	zinc finger and BTB domain containing 18	HGNC:13030	1q44
REL	Approved symbol	REL	REL proto-oncogene, NF-kB subunit	HGNC:9954	2p16.1
ZEB2	Approved symbol	ZEB2	zinc finger E-box binding homeobox 2	HGNC:14881	2q22.3
CASR	Approved symbol	CASR	calcium sensing receptor	HGNC:1514	3q13.33-q21.1
IL17RC	Approved symbol	IL17RC	interleukin 17 receptor C	HGNC:18358	3p25.3
LHFPL4	Approved symbol	LHFPL4	LHFPL tetraspan subfamily member 4	HGNC:29568	3p25.3
LHFPL4	Previous symbol	LHFPL3	LHFPL tetraspan subfamily member 3	HGNC:6589	7q22.2-q22.3
MST1R	Approved symbol	MST1R	macrophage stimulating 1 receptor	HGNC:7381	3p21.31
PPP2R3A	Approved symbol	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	HGNC:9307	3q22.2-q22.3
TOMM70A	Previous symbol	TOMM70	translocase of outer mitochondrial membrane 70	HGNC:11985	3q12.2
DKK2	Approved symbol	DKK2	dickkopf WNT signaling pathway inhibitor 2	HGNC:2892	4q25
ERBB2IP	Previous symbol	ERBIN	erbb2 interacting protein	HGNC:15842	5q12.3
FAM71B	Approved symbol	FAM71B	family with sequence similarity 71 member B	HGNC:28397	5q33.3
KDM3B	Approved symbol	KDM3B	lysine demethylase 3B	HGNC:1337	5q31.2
OXCT1	Approved symbol	OXCT1	3-oxoacid CoA-transferase 1	HGNC:8527	5p13.1
SLC6A3	Approved symbol	SLC6A3	solute carrier family 6 member 3	HGNC:11049	5p15.33
ZCCHC9	Approved symbol	ZCCHC9	zinc finger CCHC-type containing 9	HGNC:25424	5q14.1
IGF2R	Approved symbol	IGF2R	insulin like growth factor 2 receptor	HGNC:5467	6q25.3
MAP3K5	Approved symbol	MAP3K5	mitogen-activated protein kinase kinase kinase 5	HGNC:6857	6q23.3
MDC1	Approved symbol	MDC1	mediator of DNA damage checkpoint 1	HGNC:21163	6p21.33
SMOC2	Approved symbol	SMOC2	SPARC related modular calcium binding 2	HGNC:20323	6q27
TCP11	Approved symbol	TCP11	t-complex 11	HGNC:11658	6p21.31
AMPH	Approved symbol	AMPH	amphiphysin	HGNC:471	7p14.1
FOXP2	Approved symbol	FOXP2	forkhead box P2	HGNC:13875	7q31.1
KIAA1324L	Approved symbol	KIAA1324L	KIAA1324 like	HGNC:21945	7q21.12
POLM	Approved symbol	POLM	DNA polymerase mu	HGNC:9185	7p13
ARFGEF1	Approved symbol	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	HGNC:15772	8q13.2
ATAD2	Approved symbol	ATAD2	ATPase family, AAA domain containing 2	HGNC:30123	8q24.13
TG	Approved symbol	TG	thyroglobulin	HGNC:11764	8q24.22
C9orf3	Approved symbol	C9orf3	chromosome 9 open reading frame 3	HGNC:1361	9q22.32
SPAG8	Approved symbol	SPAG8	sperm associated antigen 8	HGNC:14105	9p13.3
ABCG4	Approved symbol	ABCG4	ATP binding cassette subfamily G member 4	HGNC:13884	11q23.3
NTM	Approved symbol	NTM	neurotrimin	HGNC:17941	11q25
SLC17A6	Approved symbol	SLC17A6	solute carrier family 17 member 6	HGNC:16703	11p14.3
SYT7	Approved symbol	SYT7	synaptotagmin 7	HGNC:11514	11q12.2
APAF1	Approved symbol	APAF1	apoptotic peptidase activating factor 1	HGNC:576	12q23.1
FOXN4	Approved symbol	FOXN4	forkhead box N4	HGNC:21399	12q24.11
GLI1	Approved symbol	GLI1	GLI family zinc finger 1	HGNC:4317	12q13.3
HCFC2	Approved symbol	HCFC2	host cell factor C2	HGNC:24972	12q23.3
LRP1	Approved symbol	LRP1	LDL receptor related protein 1	HGNC:6692	12q13.3
LRP1	Synonyms	C1D	C1D nuclear receptor corepressor	HGNC:29911	2p14
MLEC	Approved symbol	MLEC	malectin	HGNC:28973	12q24.31
OAS1	Approved symbol	OAS1	2'-5'-oligoadenylate synthetase 1	HGNC:8086	12q24.2
RCBTB2	Approved symbol	RCBTB2	RCC1 and BTB domain containing protein 2	HGNC:1914	13q14.2
CDKL1	Approved symbol	CDKL1	cyclin dependent kinase like 1	HGNC:1781	14q21.3
FCF1	Approved symbol	FCF1	FCF1, rRNA-processing protein	HGNC:20220	14q24.3
FOXG1	Approved symbol	FOXG1	forkhead box G1	HGNC:3811	14q12
KTN1	Approved symbol	KTN1	kinectin 1	HGNC:6467	14q22.1
ZFYVE26	Approved symbol	ZFYVE26	zinc finger FYVE-type containing 26	HGNC:20761	14q24.1
PAQR5	Approved symbol	PAQR5	progestin and adipoQ receptor family member 5	HGNC:29645	15q23
ZNF500	Approved symbol	ZNF500	zinc finger protein 500	HGNC:23716	16p13.3
FTSJ3	Approved symbol	FTSJ3	FtsJ RNA methyltransferase homolog 3	HGNC:17136	17q23.3
TEKT1	Approved symbol	TEKT1	tektin 1	HGNC:15534	17p13.1
MARK4	Approved symbol	MARK4	microtubule affinity regulating kinase 4	HGNC:13538	19q13.32
ZNF563	Approved symbol	ZNF563	zinc finger protein 563	HGNC:30498	19p13.2
SLC52A3	Approved symbol	SLC52A3	solute carrier family 52 member 3	HGNC:16187	20p13
MYBL2	Approved symbol	MYBL2	MYB proto-oncogene like 2	HGNC:7548	20q13.12
PLCB1	Approved symbol	PLCB1	phospholipase C beta 1	HGNC:15917	20p12.3
GPCPD1	Approved symbol	GPCPD1	glycerophosphocholine phosphodiesterase 1	HGNC:26957	20p12.3
ITSN1	Approved symbol	ITSN1	intersectin 1	HGNC:6183	21q22.11
BRWD3	Approved symbol	BRWD3	bromodomain and WD repeat domain containing 3	HGNC:17342	Xq21.1
GABRE	Approved symbol	GABRE	gamma-aminobutyric acid type A receptor epsilon subunit	HGNC:4085	Xq28
PLB1	Approved symbol	PLB1	phospholipase B1	HGNC:30041	2p23.2
TNS1	Approved symbol	TNS1	tensin 1	HGNC:11973	2q35
APEH	Approved symbol	APEH	acylaminoacyl-peptide hydrolase	HGNC:586	3p21.31
ATG3	Approved symbol	ATG3	autophagy related 3	HGNC:20962	3q13.2
C3orf20	Approved symbol	C3orf20	chromosome 3 open reading frame 20	HGNC:25320	3p25.1
UQCRB	Approved symbol	UQCRB	ubiquinol-cytochrome c reductase binding protein	HGNC:12582	8q22.1
OLFM1	Approved symbol	OLFM1	olfactomedin 1	HGNC:17187	9q34.3
CD3E	Approved symbol	CD3E	CD3e molecule	HGNC:1674	11q23.3
PMEL	Approved symbol	PMEL	premelanosome protein	HGNC:10880	12q13.2
GPATCH2L	Approved symbol	GPATCH2L	G-patch domain containing 2 like	HGNC:20210	14q24.3
OCA2	Approved symbol	OCA2	OCA2 melanosomal transmembrane protein	HGNC:8101	15q12-q13.1
DNMT1	Approved symbol	DNMT1	DNA methyltransferase 1	HGNC:2976	19p13.2
RYR1	Approved symbol	RYR1	ryanodine receptor 1	HGNC:10483	19q13.2
FAM163A	Approved symbol	FAM163A	family with sequence similarity 163 member A	HGNC:28274	1q25.2
COLGALT2	Approved symbol	COLGALT2	collagen beta(1-O)galactosyltransferase 2	HGNC:16790	1q25.3
PARS2	Approved symbol	PARS2	prolyl-tRNA synthetase 2, mitochondrial	HGNC:30563	1p32.3
CHRNA1	Approved symbol	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	HGNC:1955	2q31.1
EFEMP1	Approved symbol	EFEMP1	EGF containing fibulin extracellular matrix protein 1	HGNC:3218	2p16.1
SLC4A5	Approved symbol	SLC4A5	solute carrier family 4 member 5	HGNC:18168	2p13.1
SLC4A5	Previous symbol	SLC4A4	solute carrier family 4 member 4	HGNC:11030	4q13.3
PRICKLE2	Approved symbol	PRICKLE2	prickle planar cell polarity protein 2	HGNC:20340	3p14.1
SLC4A4	Approved symbol	SLC4A4	solute carrier family 4 member 4	HGNC:11030	4q13.3
ADAMTS2	Approved symbol	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	HGNC:218	5q35.3
NRG2	Approved symbol	NRG2	neuregulin 2	HGNC:7998	5q31.2
ERVFRD-1	Approved symbol	ERVFRD-1	endogenous retrovirus group FRD member 1, envelope	HGNC:33823	6p24.2
MCHR2	Approved symbol	MCHR2	melanin concentrating hormone receptor 2	HGNC:20867	6q16.2
NOX3	Approved symbol	NOX3	NADPH oxidase 3	HGNC:7890	6q25.3
C9orf72	Approved symbol	C9orf72	chromosome 9 open reading frame 72	HGNC:28337	9p21.2
TEK	Approved symbol	TEK	TEK receptor tyrosine kinase	HGNC:11724	9p21.2
TMEM8B	Approved symbol	TMEM8B	transmembrane protein 8B	HGNC:21427	9p13.3
SART1	Approved symbol	SART1	SART1, U4/U6.U5 tri-snRNP-associated protein 1	HGNC:10538	11q13.1
TMEM135	Approved symbol	TMEM135	transmembrane protein 135	HGNC:26167	11q14.2
UBE4A	Approved symbol	UBE4A	ubiquitination factor E4A	HGNC:12499	11q23.3
FAM186B	Approved symbol	FAM186B	family with sequence similarity 186 member B	HGNC:25296	12q13.12
HSP90B1	Approved symbol	HSP90B1	heat shock protein 90 beta family member 1	HGNC:12028	12q23.3
SPTB	Approved symbol	SPTB	spectrin beta, erythrocytic	HGNC:11274	14q23.3
CRTC3	Approved symbol	CRTC3	CREB regulated transcription coactivator 3	HGNC:26148	15q26.1
ABCA5	Approved symbol	ABCA5	ATP binding cassette subfamily A member 5	HGNC:35	17q24.3
RPTOR	Approved symbol	RPTOR	regulatory associated protein of MTOR complex 1	HGNC:30287	17q25.3
TEKT3	Approved symbol	TEKT3	tektin 3	HGNC:14293	17p12
KCTD1	Approved symbol	KCTD1	potassium channel tetramerization domain containing 1	HGNC:18249	18q11.2
ELAVL3	Approved symbol	ELAVL3	ELAV like RNA binding protein 3	HGNC:3314	19p13.2
ZNF555	Approved symbol	ZNF555	zinc finger protein 555	HGNC:28382	19p13.3
ZNF559	Approved symbol	ZNF559	zinc finger protein 559	HGNC:28197	19p13.2
CDH22	Approved symbol	CDH22	cadherin 22	HGNC:13251	20q13.12
SALL4	Approved symbol	SALL4	spalt like transcription factor 4	HGNC:15924	20q13.2
HIRA	Approved symbol	HIRA	histone cell cycle regulator	HGNC:4916	22q11.21
MYH9	Approved symbol	MYH9	myosin heavy chain 9	HGNC:7579	22q12.3
TBC1D22A	Approved symbol	TBC1D22A	TBC1 domain family member 22A	HGNC:1309	22q13.31
NPPA	Approved symbol	NPPA	natriuretic peptide A	HGNC:7939	1p36.22
PADI3	Approved symbol	PADI3	peptidyl arginine deiminase 3	HGNC:18337	1p36.13
HIST2H2AC	Approved symbol	HIST2H2AC	histone cluster 2 H2A family member c	HGNC:4738	1q21.2
PGLYRP4	Approved symbol	PGLYRP4	peptidoglycan recognition protein 4	HGNC:30015	1q21.3
RASAL2	Approved symbol	RASAL2	RAS protein activator like 2	HGNC:9874	1q25.2
KCNT2	Approved symbol	KCNT2	potassium sodium-activated channel subfamily T member 2	HGNC:18866	1q31.3
CR2	Approved symbol	CR2	complement C3d receptor 2	HGNC:2336	1q32.2
KIF3C	Approved symbol	KIF3C	kinesin family member 3C	HGNC:6321	2p23.3
BIN1	Approved symbol	BIN1	bridging integrator 1	HGNC:1052	2q14.3
MYO1B	Approved symbol	MYO1B	myosin IB	HGNC:7596	2q32.3
UGT1A10	Approved symbol	UGT1A10	UDP glucuronosyltransferase family 1 member A10	HGNC:12531	2q37.1
ABCF3	Approved symbol	ABCF3	ATP binding cassette subfamily F member 3	HGNC:72	3q27.1
THAP9	Approved symbol	THAP9	THAP domain containing 9	HGNC:23192	4q21.22
PTPN13	Approved symbol	PTPN13	protein tyrosine phosphatase, non-receptor type 13	HGNC:9646	4q21.3
MEPE	Approved symbol	MEPE	matrix extracellular phosphoglycoprotein	HGNC:13361	4q22.1
FAT4	Approved symbol	FAT4	FAT atypical cadherin 4	HGNC:23109	4q28.1
TKTL2	Approved symbol	TKTL2	transketolase like 2	HGNC:25313	4q32.2
GLRA3	Approved symbol	GLRA3	glycine receptor alpha 3	HGNC:4328	4q34.1
KIAA0947	Previous symbol	ICE1	interactor of little elongation complex ELL subunit 1	HGNC:29154	5p15.32
MYO10	Approved symbol	MYO10	myosin X	HGNC:7593	5p15.1
IL31RA	Approved symbol	IL31RA	interleukin 31 receptor A	HGNC:18969	5q11.2
FCHO2	Approved symbol	FCHO2	FCH domain only 2	HGNC:25180	5q13.2
SLCO6A1	Approved symbol	SLCO6A1	solute carrier organic anion transporter family member 6A1	HGNC:23613	5q21.1
FCHSD1	Approved symbol	FCHSD1	FCH and double SH3 domains 1	HGNC:25463	5q31.3
TEAD3	Approved symbol	TEAD3	TEA domain transcription factor 3	HGNC:11716	6p21.31
MOCS1	Approved symbol	MOCS1	molybdenum cofactor synthesis 1	HGNC:7190	6p21.2
CGA	Approved symbol	CGA	glycoprotein hormones, alpha polypeptide	HGNC:1885	6q14.3
MET	Approved symbol	MET	MET proto-oncogene, receptor tyrosine kinase	HGNC:7029	7q31
MET	Synonyms	SLTM	SAFB like transcription modulator	HGNC:20709	15q22.1
NPBWR1	Approved symbol	NPBWR1	neuropeptides B and W receptor 1	HGNC:4522	8q11.23
ASPH	Approved symbol	ASPH	aspartate beta-hydroxylase	HGNC:757	8q12.3
CYP7B1	Approved symbol	CYP7B1	cytochrome P450 family 7 subfamily B member 1	HGNC:2652	8q12.3
UNC13B	Approved symbol	UNC13B	unc-13 homolog B	HGNC:12566	9p13.3
TBC1D2	Approved symbol	TBC1D2	TBC1 domain family member 2	HGNC:18026	9q22.33
TSC1	Approved symbol	TSC1	TSC complex subunit 1	HGNC:12362	9q34
LIPK	Approved symbol	LIPK	lipase family member K	HGNC:23444	10q23.31
CYP2C19	Approved symbol	CYP2C19	cytochrome P450 family 2 subfamily C member 19	HGNC:2621	10q23.33
RAPSN	Approved symbol	RAPSN	receptor associated protein of the synapse	HGNC:9863	11p11.2
SSRP1	Approved symbol	SSRP1	structure specific recognition protein 1	HGNC:11327	11q12.1
TCN1	Approved symbol	TCN1	transcobalamin 1	HGNC:11652	11q12.1
C11orf82	Previous symbol	DDIAS	DNA damage induced apoptosis suppressor	HGNC:26351	11q14.1
ACAT1	Approved symbol	ACAT1	acetyl-CoA acetyltransferase 1	HGNC:93	11q22.3
HMBS	Approved symbol	HMBS	hydroxymethylbilane synthase	HGNC:4982	11q23.3
RIMBP2	Approved symbol	RIMBP2	RIMS binding protein 2	HGNC:30339	12q24.33
PNP	Approved symbol	PNP	purine nucleoside phosphorylase	HGNC:7892	14q11.2
PNP	Synonyms	PPY	pancreatic polypeptide	HGNC:9327	17q21.31
YLPM1	Approved symbol	YLPM1	YLP motif containing 1	HGNC:17798	14q24.3
BDKRB1	Approved symbol	BDKRB1	bradykinin receptor B1	HGNC:1029	14q32.2
ATG2B	Approved symbol	ATG2B	autophagy related 2B	HGNC:20187	14q32.2
NPRL3	Approved symbol	NPRL3	NPR3 like, GATOR1 complex subunit	HGNC:14124	16p13.3
RMI2	Approved symbol	RMI2	RecQ mediated genome instability 2	HGNC:28349	16p13.13
ERCC4	Approved symbol	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	HGNC:3436	16p13.12
IL21R	Approved symbol	IL21R	interleukin 21 receptor	HGNC:6006	16p12.1
EIF4A1	Approved symbol	EIF4A1	eukaryotic translation initiation factor 4A1	HGNC:3282	17p13.1
LGALS9C	Approved symbol	LGALS9C	galectin 9C	HGNC:33874	17p11.2
IFI35	Approved symbol	IFI35	interferon induced protein 35	HGNC:5399	17q21.31
BPTF	Approved symbol	BPTF	bromodomain PHD finger transcription factor	HGNC:3581	17q24.2
CYP2A6	Approved symbol	CYP2A6	cytochrome P450 family 2 subfamily A member 6	HGNC:2610	19q13.2
MYH14	Approved symbol	MYH14	myosin heavy chain 14	HGNC:23212	19q13.33
MYH14	Synonyms	MYH7B	myosin heavy chain 7B	HGNC:15906	20q11.22
ZNF765	Approved symbol	ZNF765	zinc finger protein 765	HGNC:25092	19q13.41
LILRA1	Approved symbol	LILRA1	leukocyte immunoglobulin like receptor A1	HGNC:6602	19q13.42
VPS16	Approved symbol	VPS16	VPS16, CORVET/HOPS core subunit	HGNC:14584	20p13
BPIFB2	Approved symbol	BPIFB2	BPI fold containing family B member 2	HGNC:16177	20q11.21
DSN1	Approved symbol	DSN1	DSN1 homolog, MIS12 kinetochore complex component	HGNC:16165	20q11.23
DNTTIP1	Approved symbol	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1	HGNC:16160	20q13.12
B4GALT5	Approved symbol	B4GALT5	beta-1,4-galactosyltransferase 5	HGNC:928	20q13.13
POTED	Approved symbol	POTED	POTE ankyrin domain family member D	HGNC:23822	21q11.2
HLCS	Approved symbol	HLCS	holocarboxylase synthetase	HGNC:4976	21q22.13
MAGED1	Approved symbol	MAGED1	MAGE family member D1	HGNC:6813	Xp11.22
PHF8	Approved symbol	PHF8	PHD finger protein 8	HGNC:20672	Xp11.22
FAM199X	Approved symbol	FAM199X	family with sequence similarity 199, X-linked	HGNC:25195	Xq22.2
SPANXN4	Approved symbol	SPANXN4	SPANX family member N4	HGNC:33177	Xq27.3
FAT3	Approved symbol	FAT3	FAT atypical cadherin 3	HGNC:23112	11q14.3
RERE	Approved symbol	RERE	arginine-glutamic acid dipeptide repeats	HGNC:9965	1p36.23
FSHR	Approved symbol	FSHR	follicle stimulating hormone receptor	HGNC:3969	2p16.3
RETSAT	Approved symbol	RETSAT	retinol saturase	HGNC:25991	2p11.2
ATIC	Approved symbol	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	HGNC:794	2q35
ACVR2B	Approved symbol	ACVR2B	activin A receptor type 2B	HGNC:174	3p22.2
KIAA1524	Previous symbol	CIP2A	cell proliferation regulating inhibitor of protein phosphatase 2A	HGNC:29302	3q13.13
STXBP5L	Approved symbol	STXBP5L	syntaxin binding protein 5 like	HGNC:30757	3q13.33
LAMP3	Approved symbol	LAMP3	lysosomal associated membrane protein 3	HGNC:14582	3q27.1
SMCO1	Approved symbol	SMCO1	single-pass membrane protein with coiled-coil domains 1	HGNC:27407	3q29
ANAPC4	Approved symbol	ANAPC4	anaphase promoting complex subunit 4	HGNC:19990	4p15.2
UGDH	Approved symbol	UGDH	UDP-glucose 6-dehydrogenase	HGNC:12525	4p14
EPHA5	Approved symbol	EPHA5	EPH receptor A5	HGNC:3389	4q13.1-q13.2
CCT5	Approved symbol	CCT5	chaperonin containing TCP1 subunit 5	HGNC:1618	5p15.2
CUL9	Approved symbol	CUL9	cullin 9	HGNC:15982	6p21.1
ABCC10	Approved symbol	ABCC10	ATP binding cassette subfamily C member 10	HGNC:52	6p21.1
ZNF746	Approved symbol	ZNF746	zinc finger protein 746	HGNC:21948	7q36.1
INTS10	Approved symbol	INTS10	integrator complex subunit 10	HGNC:25548	8p21.3
TRUB2	Approved symbol	TRUB2	TruB pseudouridine synthase family member 2	HGNC:17170	9q34.11
MYOF	Approved symbol	MYOF	myoferlin	HGNC:3656	10q23.33
CD163	Approved symbol	CD163	CD163 molecule	HGNC:1631	12p13.31
A2ML1	Approved symbol	A2ML1	alpha-2-macroglobulin like 1	HGNC:23336	12p13.31
KRT72	Approved symbol	KRT72	keratin 72	HGNC:28932	12q13.13
TLN2	Approved symbol	TLN2	talin 2	HGNC:15447	15q22.2
ZNF521	Approved symbol	ZNF521	zinc finger protein 521	HGNC:24605	18q11.2
CDH2	Approved symbol	CDH2	cadherin 2	HGNC:1759	18q12.1
TCF20	Approved symbol	TCF20	transcription factor 20	HGNC:11631	22q13.2
CHD5	Approved symbol	CHD5	chromodomain helicase DNA binding protein 5	HGNC:16816	1p36.31
CHD5	Synonyms	CHD6	chromodomain helicase DNA binding protein 6	HGNC:19057	20q12
CHD5	Synonyms	WRB	tryptophan rich basic protein	HGNC:12790	21q22.2
LCK	Approved symbol	LCK	LCK proto-oncogene, Src family tyrosine kinase	HGNC:6524	1p35.2
PHC2	Approved symbol	PHC2	polyhomeotic homolog 2	HGNC:3183	1p35.1
MAP7D1	Approved symbol	MAP7D1	MAP7 domain containing 1	HGNC:25514	1p34.3
KLF17	Approved symbol	KLF17	Kruppel like factor 17	HGNC:18830	1p34.1
ERI3	Approved symbol	ERI3	ERI1 exoribonuclease family member 3	HGNC:17276	1p34.1
ASB17	Approved symbol	ASB17	ankyrin repeat and SOCS box containing 17	HGNC:19769	1p31.1
LAMTOR5	Approved symbol	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	HGNC:17955	1p13.3
TDRD10	Approved symbol	TDRD10	tudor domain containing 10	HGNC:25316	1q21.3
PKLR	Approved symbol	PKLR	pyruvate kinase L/R	HGNC:9020	1q22
PLXNA2	Approved symbol	PLXNA2	plexin A2	HGNC:9100	1q32.2
EPHX1	Approved symbol	EPHX1	epoxide hydrolase 1	HGNC:3401	1q42.12
OR2M3	Approved symbol	OR2M3	olfactory receptor family 2 subfamily M member 3	HGNC:8269	1q44
PXDN	Approved symbol	PXDN	peroxidasin	HGNC:14966	2p25.3
C2orf16	Approved symbol	C2orf16	chromosome 2 open reading frame 16	HGNC:25275	2p23.3
HEATR5B	Approved symbol	HEATR5B	HEAT repeat containing 5B	HGNC:29273	2p22.2
AFTPH	Approved symbol	AFTPH	aftiphilin	HGNC:25951	2p14
NAT8	Approved symbol	NAT8	N-acetyltransferase 8 (putative)	HGNC:18069	2p13.1
TACR1	Approved symbol	TACR1	tachykinin receptor 1	HGNC:11526	2p12
KCMF1	Approved symbol	KCMF1	potassium channel modulatory factor 1	HGNC:20589	2p11.2
MYO7B	Approved symbol	MYO7B	myosin VIIB	HGNC:7607	2q14.3
